Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A0B4JD97	P18431	TACC	SGG	CG9765|DMEL_CG9765	CG2621	FBGN0026620	FBGN0003371	25294943:0007:LC|25294943:0096:LC
A0A0B4JD97	Q9VEZ3	TACC	MSPS	CG9765|DMEL_CG9765	CG5000	FBGN0026620	FBGN0027948	11433296:0004:LC|32267553:0004:LC|16186253:0004:LC
A0A0B4JDC9	P91645	RBP	CAC	CG43073|DMEL_CG43073	CG43368	FBGN0262483	FBGN0263111	26274777:0018:LC|26274777:0114:LC|26274777:0096:LC
A0A0B4JDC9	Q9W0K0	RBP	APLIP1	CG43073|DMEL_CG43073	CG1200	FBGN0262483	FBGN0040281	26274777:0114:LC|26274777:0018:LC|26274777:0096:LC
A0A0B4JDD0	E1JHT6	PIF1A	RTNL1	CG42599|DMEL_CG42599	CG33113|DMEL_CG33113	FBGN0261015	FBGN0053113	25294943:0007:LC
A0A0B4K620	P18431	MTD	SGG	CG32464|DMEL_CG32464	CG2621	FBGN0013576	FBGN0003371	25294943:0007:LC|25294943:0096:LC
A0A0B4K620	P34082	MTD	FAS2	CG32464|DMEL_CG32464	CG3665	FBGN0013576	FBGN0000635	25294943:0096:LC
A0A0B4K657	P34082	BTSZ	FAS2	CG44012|DMEL_CG44012	CG3665	FBGN0266756	FBGN0000635	25294943:0096:LC
A0A0B4K682	P34082	JVL	FAS2	CG43162|DMEL_CG43162	CG3665	FBGN0263929	FBGN0000635	25294943:0096:LC
A0A0B4K682	Q9V9Y9	JVL	SPN-F	CG43162|DMEL_CG43162	CG12114	FBGN0263929	FBGN0086362	24019068:0018:LC|21989913:0004:LC|24019068:0004:LC|21989913:0018:LC
A0A0B4K6M2	P18431	RIM	SGG	CG33547|DMEL_CG33547	CG2621	FBGN0053547	FBGN0003371	25294943:0096:LC
A0A0B4K6N4	Q7KTJ7	TMOD	BSG	CG1539|DMEL_CG1539	CG31605|DMEL_CG31605	FBGN0082582	FBGN0261822	25294943:0096:LC
A0A0B4K6W9	P25158	HEPH	OSK	CG31000|DMEL_CG31000	CG10901	FBGN0011224	FBGN0003015	23894566:0004:LC|19131435:0004:LC
A0A0B4K765	Q94517	SIN3A	HDAC1	CG8815|DMEL_CG8815	CG7471	FBGN0022764	FBGN0015805	20566628:0004:LC|10973955:0004:LC|23177352:0006:LC
A0A0B4K765	Q9VMJ7	SIN3A	LID	CG8815|DMEL_CG8815	CG9088	FBGN0022764	FBGN0031759	26848313:0004:LC|19782028:0004:LC|20566628:0004:LC
A0A0B4K765	Q9VQ58	SIN3A	EMSY	CG8815|DMEL_CG8815	CG15356|DMEL_CG15356	FBGN0022764	FBGN0031377	19782028:0004:LC|20566628:0004:LC
A0A0B4K765	Q9VWG2	SIN3A	SDS3	CG8815|DMEL_CG8815	CG14220|DMEL_CG14220	FBGN0022764	FBGN0031036	20566628:0004:LC
A0A0B4K765	Q9VYI2	SIN3A	BRMS1	CG8815|DMEL_CG8815	CG4400|DMEL_CG4400	FBGN0022764	FBGN0030434	20566628:0004:LC
A0A0B4K765	Q9W410	SIN3A	PF1	CG8815|DMEL_CG8815	CG3815|DMEL_CG3815	FBGN0022764	FBGN0029861	19782028:0004:LC|20566628:0004:LC
